,,,
Source: A&E Datamart,,,
Data from: 1st Janury 2015 - 31st December 2016,,,
Data extracted: 15th November 2017,,,
,,,
Arrival Date,Treatment NHS Board Description - as at date of episode,Treatment Location Name,Number Of Attendances
25-Jun-2016,NHS GREATER GLASGOW & CLYDE,ROYAL HOSPITAL FOR CHILDREN,141
25-Jun-2016,NHS GREATER GLASGOW & CLYDE,STOBHILL HOSPITAL,37
25-Jun-2016,NHS GREATER GLASGOW & CLYDE,VALE OF LEVEN GENERAL HOSPITAL,38
25-Jun-2016,NHS GREATER GLASGOW & CLYDE,WEST GLASGOW,29
25-Jun-2016,NHS HIGHLAND,BELFORD HOSPITAL,37
25-Jun-2016,NHS HIGHLAND,CAITHNESS GENERAL HOSPITAL,21
25-Jun-2016,NHS HIGHLAND,LORN & ISLANDS HOSPITAL,29
25-Jun-2016,NHS HIGHLAND,RAIGMORE HOSPITAL,90
25-Jun-2016,NHS LANARKSHIRE,HAIRMYRES HOSPITAL,146
25-Jun-2016,NHS LANARKSHIRE,MONKLANDS DISTRICT GENERAL HOSPITAL,198
25-Jun-2016,NHS LANARKSHIRE,WISHAW GENERAL HOSPITAL,179
25-Jun-2016,NHS LOTHIAN,ROYAL HOSPITAL FOR SICK CHILDREN (EDINBURGH),109
25-Jun-2016,NHS LOTHIAN,ROYAL INFIRMARY OF EDINBURGH AT LITTLE FRANCE,316
25-Jun-2016,NHS LOTHIAN,ST JOHN'S HOSPITAL,142
25-Jun-2016,NHS LOTHIAN,WESTERN GENERAL HOSPITAL,89
25-Jun-2016,NHS ORKNEY,BALFOUR HOSPITAL,17
25-Jun-2016,NHS SHETLAND,GILBERT BAIN HOSPITAL,30
25-Jun-2016,NHS TAYSIDE,ARBROATH INFIRMARY,41
25-Jun-2016,NHS TAYSIDE,BLAIRGOWRIE & RATTRAY COTTAGE HOSPITAL,15
25-Jun-2016,NHS TAYSIDE,BRECHIN INFIRMARY,7
25-Jun-2016,NHS TAYSIDE,CRIEFF COMMUNITY HOSPITAL,5
25-Jun-2016,NHS TAYSIDE,LINKS HEALTH CENTRE,19
25-Jun-2016,NHS TAYSIDE,NINEWELLS HOSPITAL,141
25-Jun-2016,NHS TAYSIDE,PERTH ROYAL INFIRMARY,63
25-Jun-2016,NHS TAYSIDE,PITLOCHRY COMMUNITY HOSPITAL,8
25-Jun-2016,NHS TAYSIDE,ST MARGARET'S HOSPITAL,1
25-Jun-2016,NHS TAYSIDE,WHITEHILLS HEALTH AND COMMUNITY CARE CENTRE,34
25-Jun-2016,NHS WESTERN ISLES,WESTERN ISLES HOSPITAL,16
26-Jun-2016,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL AYR,116
26-Jun-2016,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL CROSSHOUSE,181
26-Jun-2016,NHS BORDERS,BORDERS GENERAL HOSPITAL,69
26-Jun-2016,NHS DUMFRIES & GALLOWAY,DUMFRIES & GALLOWAY ROYAL INFIRMARY,122
26-Jun-2016,NHS DUMFRIES & GALLOWAY,GALLOWAY COMMUNITY HOSPITAL,33
26-Jun-2016,NHS FIFE,QUEEN MARGARET HOSPITAL,74
26-Jun-2016,NHS FIFE,VICTORIA HOSPITAL,211
26-Jun-2016,NHS FORTH VALLEY,FORTH VALLEY ROYAL HOSPITAL,186
26-Jun-2016,NHS FORTH VALLEY,STIRLING COMMUNITY HOSPITAL,38
26-Jun-2016,NHS GRAMPIAN,ABERDEEN ROYAL INFIRMARY,194
26-Jun-2016,NHS GRAMPIAN,DR GRAY'S HOSPITAL,79
26-Jun-2016,NHS GRAMPIAN,ROYAL ABERDEEN CHILDREN'S HOSPITAL,71
26-Jun-2016,NHS GREATER GLASGOW & CLYDE,GLASGOW ROYAL INFIRMARY,240
26-Jun-2016,NHS GREATER GLASGOW & CLYDE,INVERCLYDE ROYAL HOSPITAL,98
26-Jun-2016,NHS GREATER GLASGOW & CLYDE,NEW VICTORIA HOSPITAL,88
26-Jun-2016,NHS GREATER GLASGOW & CLYDE,QUEEN ELIZABETH UNIVERSITY HOSPITAL,273
26-Jun-2016,NHS GREATER GLASGOW & CLYDE,ROYAL ALEXANDRA HOSPITAL,199
26-Jun-2016,NHS GREATER GLASGOW & CLYDE,ROYAL HOSPITAL FOR CHILDREN,124
26-Jun-2016,NHS GREATER GLASGOW & CLYDE,STOBHILL HOSPITAL,49
26-Jun-2016,NHS GREATER GLASGOW & CLYDE,VALE OF LEVEN GENERAL HOSPITAL,34
26-Jun-2016,NHS GREATER GLASGOW & CLYDE,WEST GLASGOW,23
26-Jun-2016,NHS HIGHLAND,BELFORD HOSPITAL,28
26-Jun-2016,NHS HIGHLAND,CAITHNESS GENERAL HOSPITAL,11
26-Jun-2016,NHS HIGHLAND,LORN & ISLANDS HOSPITAL,19
26-Jun-2016,NHS HIGHLAND,RAIGMORE HOSPITAL,98
26-Jun-2016,NHS LANARKSHIRE,HAIRMYRES HOSPITAL,161
26-Jun-2016,NHS LANARKSHIRE,MONKLANDS DISTRICT GENERAL HOSPITAL,161
26-Jun-2016,NHS LANARKSHIRE,WISHAW GENERAL HOSPITAL,184
26-Jun-2016,NHS LOTHIAN,ROYAL HOSPITAL FOR SICK CHILDREN (EDINBURGH),120
26-Jun-2016,NHS LOTHIAN,ROYAL INFIRMARY OF EDINBURGH AT LITTLE FRANCE,337
26-Jun-2016,NHS LOTHIAN,ST JOHN'S HOSPITAL,165
26-Jun-2016,NHS LOTHIAN,WESTERN GENERAL HOSPITAL,91
26-Jun-2016,NHS ORKNEY,BALFOUR HOSPITAL,18
26-Jun-2016,NHS SHETLAND,GILBERT BAIN HOSPITAL,15
26-Jun-2016,NHS TAYSIDE,ARBROATH INFIRMARY,60
26-Jun-2016,NHS TAYSIDE,BLAIRGOWRIE & RATTRAY COTTAGE HOSPITAL,7
26-Jun-2016,NHS TAYSIDE,BRECHIN INFIRMARY,4
26-Jun-2016,NHS TAYSIDE,CRIEFF COMMUNITY HOSPITAL,4
26-Jun-2016,NHS TAYSIDE,LINKS HEALTH CENTRE,19
26-Jun-2016,NHS TAYSIDE,NINEWELLS HOSPITAL,183
26-Jun-2016,NHS TAYSIDE,PERTH ROYAL INFIRMARY,69
26-Jun-2016,NHS TAYSIDE,PITLOCHRY COMMUNITY HOSPITAL,5
26-Jun-2016,NHS TAYSIDE,WHITEHILLS HEALTH AND COMMUNITY CARE CENTRE,28
26-Jun-2016,NHS WESTERN ISLES,WESTERN ISLES HOSPITAL,21
27-Jun-2016,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL AYR,138
27-Jun-2016,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL CROSSHOUSE,188
27-Jun-2016,NHS BORDERS,BORDERS GENERAL HOSPITAL,82
27-Jun-2016,NHS DUMFRIES & GALLOWAY,DUMFRIES & GALLOWAY ROYAL INFIRMARY,92
27-Jun-2016,NHS DUMFRIES & GALLOWAY,GALLOWAY COMMUNITY HOSPITAL,38
27-Jun-2016,NHS FIFE,QUEEN MARGARET HOSPITAL,77
27-Jun-2016,NHS FIFE,VICTORIA HOSPITAL,193
27-Jun-2016,NHS FORTH VALLEY,FORTH VALLEY ROYAL HOSPITAL,198
27-Jun-2016,NHS FORTH VALLEY,STIRLING COMMUNITY HOSPITAL,48
27-Jun-2016,NHS GRAMPIAN,ABERDEEN ROYAL INFIRMARY,174
27-Jun-2016,NHS GRAMPIAN,DR GRAY'S HOSPITAL,68
27-Jun-2016,NHS GRAMPIAN,ROYAL ABERDEEN CHILDREN'S HOSPITAL,36
27-Jun-2016,NHS GREATER GLASGOW & CLYDE,GLASGOW ROYAL INFIRMARY,252
27-Jun-2016,NHS GREATER GLASGOW & CLYDE,INVERCLYDE ROYAL HOSPITAL,104
27-Jun-2016,NHS GREATER GLASGOW & CLYDE,NEW VICTORIA HOSPITAL,90
27-Jun-2016,NHS GREATER GLASGOW & CLYDE,QUEEN ELIZABETH UNIVERSITY HOSPITAL,280
27-Jun-2016,NHS GREATER GLASGOW & CLYDE,ROYAL ALEXANDRA HOSPITAL,189
27-Jun-2016,NHS GREATER GLASGOW & CLYDE,ROYAL HOSPITAL FOR CHILDREN,139
27-Jun-2016,NHS GREATER GLASGOW & CLYDE,STOBHILL HOSPITAL,58
27-Jun-2016,NHS GREATER GLASGOW & CLYDE,VALE OF LEVEN GENERAL HOSPITAL,62
27-Jun-2016,NHS GREATER GLASGOW & CLYDE,WEST GLASGOW,39
27-Jun-2016,NHS HIGHLAND,BELFORD HOSPITAL,27
27-Jun-2016,NHS HIGHLAND,CAITHNESS GENERAL HOSPITAL,30
27-Jun-2016,NHS HIGHLAND,LORN & ISLANDS HOSPITAL,26
27-Jun-2016,NHS HIGHLAND,RAIGMORE HOSPITAL,115
27-Jun-2016,NHS LANARKSHIRE,HAIRMYRES HOSPITAL,185
27-Jun-2016,NHS LANARKSHIRE,MONKLANDS DISTRICT GENERAL HOSPITAL,174
27-Jun-2016,NHS LANARKSHIRE,WISHAW GENERAL HOSPITAL,190
27-Jun-2016,NHS LOTHIAN,ROYAL HOSPITAL FOR SICK CHILDREN (EDINBURGH),142
27-Jun-2016,NHS LOTHIAN,ROYAL INFIRMARY OF EDINBURGH AT LITTLE FRANCE,345
27-Jun-2016,NHS LOTHIAN,ST JOHN'S HOSPITAL,180
27-Jun-2016,NHS LOTHIAN,WESTERN GENERAL HOSPITAL,145
27-Jun-2016,NHS ORKNEY,BALFOUR HOSPITAL,14
27-Jun-2016,NHS SHETLAND,GILBERT BAIN HOSPITAL,25
27-Jun-2016,NHS TAYSIDE,ARBROATH INFIRMARY,38
27-Jun-2016,NHS TAYSIDE,BLAIRGOWRIE & RATTRAY COTTAGE HOSPITAL,6
27-Jun-2016,NHS TAYSIDE,BRECHIN INFIRMARY,12
27-Jun-2016,NHS TAYSIDE,CRIEFF COMMUNITY HOSPITAL,5
27-Jun-2016,NHS TAYSIDE,LINKS HEALTH CENTRE,12
27-Jun-2016,NHS TAYSIDE,NINEWELLS HOSPITAL,143
27-Jun-2016,NHS TAYSIDE,PERTH ROYAL INFIRMARY,81
27-Jun-2016,NHS TAYSIDE,PITLOCHRY COMMUNITY HOSPITAL,6
27-Jun-2016,NHS TAYSIDE,ST MARGARET'S HOSPITAL,1
27-Jun-2016,NHS TAYSIDE,WHITEHILLS HEALTH AND COMMUNITY CARE CENTRE,8
27-Jun-2016,NHS WESTERN ISLES,WESTERN ISLES HOSPITAL,17
28-Jun-2016,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL AYR,137
28-Jun-2016,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL CROSSHOUSE,178
28-Jun-2016,NHS BORDERS,BORDERS GENERAL HOSPITAL,71
28-Jun-2016,NHS DUMFRIES & GALLOWAY,DUMFRIES & GALLOWAY ROYAL INFIRMARY,95
28-Jun-2016,NHS DUMFRIES & GALLOWAY,GALLOWAY COMMUNITY HOSPITAL,32
28-Jun-2016,NHS DUMFRIES & GALLOWAY,NEWTON STEWART HOSPITAL,1
28-Jun-2016,NHS FIFE,QUEEN MARGARET HOSPITAL,66
28-Jun-2016,NHS FIFE,VICTORIA HOSPITAL,180
28-Jun-2016,NHS FORTH VALLEY,FORTH VALLEY ROYAL HOSPITAL,193
28-Jun-2016,NHS FORTH VALLEY,STIRLING COMMUNITY HOSPITAL,47
28-Jun-2016,NHS GRAMPIAN,ABERDEEN ROYAL INFIRMARY,169
28-Jun-2016,NHS GRAMPIAN,DR GRAY'S HOSPITAL,67
28-Jun-2016,NHS GRAMPIAN,ROYAL ABERDEEN CHILDREN'S HOSPITAL,46
28-Jun-2016,NHS GREATER GLASGOW & CLYDE,GLASGOW ROYAL INFIRMARY,222
28-Jun-2016,NHS GREATER GLASGOW & CLYDE,INVERCLYDE ROYAL HOSPITAL,85
28-Jun-2016,NHS GREATER GLASGOW & CLYDE,NEW VICTORIA HOSPITAL,94
28-Jun-2016,NHS GREATER GLASGOW & CLYDE,QUEEN ELIZABETH UNIVERSITY HOSPITAL,241
28-Jun-2016,NHS GREATER GLASGOW & CLYDE,ROYAL ALEXANDRA HOSPITAL,189
28-Jun-2016,NHS GREATER GLASGOW & CLYDE,ROYAL HOSPITAL FOR CHILDREN,134
28-Jun-2016,NHS GREATER GLASGOW & CLYDE,STOBHILL HOSPITAL,45
28-Jun-2016,NHS GREATER GLASGOW & CLYDE,VALE OF LEVEN GENERAL HOSPITAL,39
28-Jun-2016,NHS GREATER GLASGOW & CLYDE,WEST GLASGOW,29
28-Jun-2016,NHS HIGHLAND,BELFORD HOSPITAL,23
28-Jun-2016,NHS HIGHLAND,CAITHNESS GENERAL HOSPITAL,25
28-Jun-2016,NHS HIGHLAND,LORN & ISLANDS HOSPITAL,28
28-Jun-2016,NHS HIGHLAND,RAIGMORE HOSPITAL,105
28-Jun-2016,NHS LANARKSHIRE,HAIRMYRES HOSPITAL,154
28-Jun-2016,NHS LANARKSHIRE,MONKLANDS DISTRICT GENERAL HOSPITAL,199
28-Jun-2016,NHS LANARKSHIRE,WISHAW GENERAL HOSPITAL,165
28-Jun-2016,NHS LOTHIAN,ROYAL HOSPITAL FOR SICK CHILDREN (EDINBURGH),114
28-Jun-2016,NHS LOTHIAN,ROYAL INFIRMARY OF EDINBURGH AT LITTLE FRANCE,336
28-Jun-2016,NHS LOTHIAN,ST JOHN'S HOSPITAL,176
28-Jun-2016,NHS LOTHIAN,WESTERN GENERAL HOSPITAL,129
28-Jun-2016,NHS ORKNEY,BALFOUR HOSPITAL,15
28-Jun-2016,NHS SHETLAND,GILBERT BAIN HOSPITAL,23
28-Jun-2016,NHS TAYSIDE,ARBROATH INFIRMARY,46
28-Jun-2016,NHS TAYSIDE,BLAIRGOWRIE & RATTRAY COTTAGE HOSPITAL,5
28-Jun-2016,NHS TAYSIDE,BRECHIN INFIRMARY,3
28-Jun-2016,NHS TAYSIDE,CRIEFF COMMUNITY HOSPITAL,4
28-Jun-2016,NHS TAYSIDE,LINKS HEALTH CENTRE,10
28-Jun-2016,NHS TAYSIDE,NINEWELLS HOSPITAL,157
28-Jun-2016,NHS TAYSIDE,PERTH ROYAL INFIRMARY,68
28-Jun-2016,NHS TAYSIDE,PITLOCHRY COMMUNITY HOSPITAL,7
28-Jun-2016,NHS TAYSIDE,ST MARGARET'S HOSPITAL,1
28-Jun-2016,NHS TAYSIDE,WHITEHILLS HEALTH AND COMMUNITY CARE CENTRE,12
28-Jun-2016,NHS WESTERN ISLES,WESTERN ISLES HOSPITAL,21
29-Jun-2016,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL AYR,127
29-Jun-2016,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL CROSSHOUSE,169
29-Jun-2016,NHS BORDERS,BORDERS GENERAL HOSPITAL,75
29-Jun-2016,NHS DUMFRIES & GALLOWAY,DUMFRIES & GALLOWAY ROYAL INFIRMARY,103
29-Jun-2016,NHS DUMFRIES & GALLOWAY,GALLOWAY COMMUNITY HOSPITAL,29
29-Jun-2016,NHS FIFE,QUEEN MARGARET HOSPITAL,73
29-Jun-2016,NHS FIFE,VICTORIA HOSPITAL,190
29-Jun-2016,NHS FORTH VALLEY,FORTH VALLEY ROYAL HOSPITAL,163
29-Jun-2016,NHS FORTH VALLEY,STIRLING COMMUNITY HOSPITAL,47
29-Jun-2016,NHS GRAMPIAN,ABERDEEN ROYAL INFIRMARY,149
29-Jun-2016,NHS GRAMPIAN,DR GRAY'S HOSPITAL,53
29-Jun-2016,NHS GRAMPIAN,ROYAL ABERDEEN CHILDREN'S HOSPITAL,45
29-Jun-2016,NHS GREATER GLASGOW & CLYDE,GLASGOW ROYAL INFIRMARY,273
29-Jun-2016,NHS GREATER GLASGOW & CLYDE,INVERCLYDE ROYAL HOSPITAL,90
29-Jun-2016,NHS GREATER GLASGOW & CLYDE,NEW VICTORIA HOSPITAL,68
29-Jun-2016,NHS GREATER GLASGOW & CLYDE,QUEEN ELIZABETH UNIVERSITY HOSPITAL,239
29-Jun-2016,NHS GREATER GLASGOW & CLYDE,ROYAL ALEXANDRA HOSPITAL,180
29-Jun-2016,NHS GREATER GLASGOW & CLYDE,ROYAL HOSPITAL FOR CHILDREN,114
29-Jun-2016,NHS GREATER GLASGOW & CLYDE,STOBHILL HOSPITAL,39
29-Jun-2016,NHS GREATER GLASGOW & CLYDE,VALE OF LEVEN GENERAL HOSPITAL,49
29-Jun-2016,NHS GREATER GLASGOW & CLYDE,WEST GLASGOW,26
29-Jun-2016,NHS HIGHLAND,BELFORD HOSPITAL,34
29-Jun-2016,NHS HIGHLAND,CAITHNESS GENERAL HOSPITAL,16
29-Jun-2016,NHS HIGHLAND,LORN & ISLANDS HOSPITAL,22
29-Jun-2016,NHS HIGHLAND,RAIGMORE HOSPITAL,84
29-Jun-2016,NHS LANARKSHIRE,HAIRMYRES HOSPITAL,166
29-Jun-2016,NHS LANARKSHIRE,MONKLANDS DISTRICT GENERAL HOSPITAL,201
29-Jun-2016,NHS LANARKSHIRE,WISHAW GENERAL HOSPITAL,152
29-Jun-2016,NHS LOTHIAN,ROYAL HOSPITAL FOR SICK CHILDREN (EDINBURGH),113
29-Jun-2016,NHS LOTHIAN,ROYAL INFIRMARY OF EDINBURGH AT LITTLE FRANCE,288
29-Jun-2016,NHS LOTHIAN,ST JOHN'S HOSPITAL,134
29-Jun-2016,NHS LOTHIAN,WESTERN GENERAL HOSPITAL,127
29-Jun-2016,NHS ORKNEY,BALFOUR HOSPITAL,19
29-Jun-2016,NHS SHETLAND,GILBERT BAIN HOSPITAL,22
29-Jun-2016,NHS TAYSIDE,ARBROATH INFIRMARY,30
29-Jun-2016,NHS TAYSIDE,BRECHIN INFIRMARY,6
29-Jun-2016,NHS TAYSIDE,CRIEFF COMMUNITY HOSPITAL,4
29-Jun-2016,NHS TAYSIDE,LINKS HEALTH CENTRE,8
29-Jun-2016,NHS TAYSIDE,NINEWELLS HOSPITAL,117
29-Jun-2016,NHS TAYSIDE,PERTH ROYAL INFIRMARY,75
29-Jun-2016,NHS TAYSIDE,PITLOCHRY COMMUNITY HOSPITAL,8
29-Jun-2016,NHS TAYSIDE,ST MARGARET'S HOSPITAL,3
29-Jun-2016,NHS TAYSIDE,WHITEHILLS HEALTH AND COMMUNITY CARE CENTRE,19
29-Jun-2016,NHS WESTERN ISLES,WESTERN ISLES HOSPITAL,19
30-Jun-2016,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL AYR,131
30-Jun-2016,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL CROSSHOUSE,161
30-Jun-2016,NHS BORDERS,BORDERS GENERAL HOSPITAL,72
30-Jun-2016,NHS DUMFRIES & GALLOWAY,DUMFRIES & GALLOWAY ROYAL INFIRMARY,101
30-Jun-2016,NHS DUMFRIES & GALLOWAY,GALLOWAY COMMUNITY HOSPITAL,23
30-Jun-2016,NHS FIFE,QUEEN MARGARET HOSPITAL,55
30-Jun-2016,NHS FIFE,VICTORIA HOSPITAL,175
30-Jun-2016,NHS FORTH VALLEY,FORTH VALLEY ROYAL HOSPITAL,161
30-Jun-2016,NHS FORTH VALLEY,STIRLING COMMUNITY HOSPITAL,42
30-Jun-2016,NHS GRAMPIAN,ABERDEEN ROYAL INFIRMARY,123
30-Jun-2016,NHS GRAMPIAN,DR GRAY'S HOSPITAL,69
30-Jun-2016,NHS GRAMPIAN,ROYAL ABERDEEN CHILDREN'S HOSPITAL,46
30-Jun-2016,NHS GREATER GLASGOW & CLYDE,GLASGOW ROYAL INFIRMARY,228
30-Jun-2016,NHS GREATER GLASGOW & CLYDE,INVERCLYDE ROYAL HOSPITAL,71
30-Jun-2016,NHS GREATER GLASGOW & CLYDE,NEW VICTORIA HOSPITAL,84
30-Jun-2016,NHS GREATER GLASGOW & CLYDE,QUEEN ELIZABETH UNIVERSITY HOSPITAL,238
30-Jun-2016,NHS GREATER GLASGOW & CLYDE,ROYAL ALEXANDRA HOSPITAL,186
30-Jun-2016,NHS GREATER GLASGOW & CLYDE,ROYAL HOSPITAL FOR CHILDREN,123
30-Jun-2016,NHS GREATER GLASGOW & CLYDE,STOBHILL HOSPITAL,27
30-Jun-2016,NHS GREATER GLASGOW & CLYDE,VALE OF LEVEN GENERAL HOSPITAL,43
30-Jun-2016,NHS GREATER GLASGOW & CLYDE,WEST GLASGOW,22
30-Jun-2016,NHS HIGHLAND,BELFORD HOSPITAL,19
30-Jun-2016,NHS HIGHLAND,CAITHNESS GENERAL HOSPITAL,20
30-Jun-2016,NHS HIGHLAND,LORN & ISLANDS HOSPITAL,17
30-Jun-2016,NHS HIGHLAND,RAIGMORE HOSPITAL,75
30-Jun-2016,NHS LANARKSHIRE,HAIRMYRES HOSPITAL,159
30-Jun-2016,NHS LANARKSHIRE,MONKLANDS DISTRICT GENERAL HOSPITAL,168
30-Jun-2016,NHS LANARKSHIRE,WISHAW GENERAL HOSPITAL,150
30-Jun-2016,NHS LOTHIAN,ROYAL HOSPITAL FOR SICK CHILDREN (EDINBURGH),139
30-Jun-2016,NHS LOTHIAN,ROYAL INFIRMARY OF EDINBURGH AT LITTLE FRANCE,328
30-Jun-2016,NHS LOTHIAN,ST JOHN'S HOSPITAL,148
30-Jun-2016,NHS LOTHIAN,WESTERN GENERAL HOSPITAL,125
30-Jun-2016,NHS ORKNEY,BALFOUR HOSPITAL,19
30-Jun-2016,NHS SHETLAND,GILBERT BAIN HOSPITAL,14
30-Jun-2016,NHS TAYSIDE,ARBROATH INFIRMARY,44
30-Jun-2016,NHS TAYSIDE,BLAIRGOWRIE & RATTRAY COTTAGE HOSPITAL,10
30-Jun-2016,NHS TAYSIDE,BRECHIN INFIRMARY,6
30-Jun-2016,NHS TAYSIDE,CRIEFF COMMUNITY HOSPITAL,4
30-Jun-2016,NHS TAYSIDE,LINKS HEALTH CENTRE,11
30-Jun-2016,NHS TAYSIDE,NINEWELLS HOSPITAL,121
30-Jun-2016,NHS TAYSIDE,PERTH ROYAL INFIRMARY,58
30-Jun-2016,NHS TAYSIDE,PITLOCHRY COMMUNITY HOSPITAL,8
30-Jun-2016,NHS TAYSIDE,ST MARGARET'S HOSPITAL,1
30-Jun-2016,NHS TAYSIDE,WHITEHILLS HEALTH AND COMMUNITY CARE CENTRE,4
30-Jun-2016,NHS WESTERN ISLES,WESTERN ISLES HOSPITAL,23
01-Jul-2016,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL AYR,140
01-Jul-2016,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL CROSSHOUSE,170
01-Jul-2016,NHS BORDERS,BORDERS GENERAL HOSPITAL,68
01-Jul-2016,NHS DUMFRIES & GALLOWAY,DUMFRIES & GALLOWAY ROYAL INFIRMARY,104
01-Jul-2016,NHS DUMFRIES & GALLOWAY,GALLOWAY COMMUNITY HOSPITAL,30
01-Jul-2016,NHS DUMFRIES & GALLOWAY,NEWTON STEWART HOSPITAL,1
01-Jul-2016,NHS FIFE,QUEEN MARGARET HOSPITAL,55
01-Jul-2016,NHS FIFE,VICTORIA HOSPITAL,175
01-Jul-2016,NHS FORTH VALLEY,FORTH VALLEY ROYAL HOSPITAL,163
01-Jul-2016,NHS FORTH VALLEY,STIRLING COMMUNITY HOSPITAL,34
01-Jul-2016,NHS GRAMPIAN,ABERDEEN ROYAL INFIRMARY,136
01-Jul-2016,NHS GRAMPIAN,DR GRAY'S HOSPITAL,82
01-Jul-2016,NHS GRAMPIAN,ROYAL ABERDEEN CHILDREN'S HOSPITAL,48
01-Jul-2016,NHS GREATER GLASGOW & CLYDE,GLASGOW ROYAL INFIRMARY,215
01-Jul-2016,NHS GREATER GLASGOW & CLYDE,INVERCLYDE ROYAL HOSPITAL,89
01-Jul-2016,NHS GREATER GLASGOW & CLYDE,NEW VICTORIA HOSPITAL,82
01-Jul-2016,NHS GREATER GLASGOW & CLYDE,QUEEN ELIZABETH UNIVERSITY HOSPITAL,227
01-Jul-2016,NHS GREATER GLASGOW & CLYDE,ROYAL ALEXANDRA HOSPITAL,170
01-Jul-2016,NHS GREATER GLASGOW & CLYDE,ROYAL HOSPITAL FOR CHILDREN,104
01-Jul-2016,NHS GREATER GLASGOW & CLYDE,STOBHILL HOSPITAL,41
01-Jul-2016,NHS GREATER GLASGOW & CLYDE,VALE OF LEVEN GENERAL HOSPITAL,46
01-Jul-2016,NHS GREATER GLASGOW & CLYDE,WEST GLASGOW,24
01-Jul-2016,NHS HIGHLAND,BELFORD HOSPITAL,29
01-Jul-2016,NHS HIGHLAND,CAITHNESS GENERAL HOSPITAL,20
01-Jul-2016,NHS HIGHLAND,LORN & ISLANDS HOSPITAL,18
01-Jul-2016,NHS HIGHLAND,RAIGMORE HOSPITAL,91
01-Jul-2016,NHS LANARKSHIRE,HAIRMYRES HOSPITAL,153
01-Jul-2016,NHS LANARKSHIRE,MONKLANDS DISTRICT GENERAL HOSPITAL,165
01-Jul-2016,NHS LANARKSHIRE,WISHAW GENERAL HOSPITAL,133
01-Jul-2016,NHS LOTHIAN,ROYAL HOSPITAL FOR SICK CHILDREN (EDINBURGH),103
01-Jul-2016,NHS LOTHIAN,ROYAL INFIRMARY OF EDINBURGH AT LITTLE FRANCE,270
01-Jul-2016,NHS LOTHIAN,ST JOHN'S HOSPITAL,138
01-Jul-2016,NHS LOTHIAN,WESTERN GENERAL HOSPITAL,129
01-Jul-2016,NHS ORKNEY,BALFOUR HOSPITAL,16
01-Jul-2016,NHS SHETLAND,GILBERT BAIN HOSPITAL,21
01-Jul-2016,NHS TAYSIDE,ARBROATH INFIRMARY,31
01-Jul-2016,NHS TAYSIDE,BLAIRGOWRIE & RATTRAY COTTAGE HOSPITAL,2
01-Jul-2016,NHS TAYSIDE,BRECHIN INFIRMARY,6
01-Jul-2016,NHS TAYSIDE,CRIEFF COMMUNITY HOSPITAL,2
01-Jul-2016,NHS TAYSIDE,LINKS HEALTH CENTRE,12
01-Jul-2016,NHS TAYSIDE,NINEWELLS HOSPITAL,109
01-Jul-2016,NHS TAYSIDE,PERTH ROYAL INFIRMARY,58
01-Jul-2016,NHS TAYSIDE,PITLOCHRY COMMUNITY HOSPITAL,2
01-Jul-2016,NHS TAYSIDE,ST MARGARET'S HOSPITAL,1
01-Jul-2016,NHS TAYSIDE,WHITEHILLS HEALTH AND COMMUNITY CARE CENTRE,12
01-Jul-2016,NHS WESTERN ISLES,WESTERN ISLES HOSPITAL,17
02-Jul-2016,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL AYR,124
02-Jul-2016,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL CROSSHOUSE,169
02-Jul-2016,NHS BORDERS,BORDERS GENERAL HOSPITAL,83
02-Jul-2016,NHS DUMFRIES & GALLOWAY,DUMFRIES & GALLOWAY ROYAL INFIRMARY,123
02-Jul-2016,NHS DUMFRIES & GALLOWAY,GALLOWAY COMMUNITY HOSPITAL,42
02-Jul-2016,NHS DUMFRIES & GALLOWAY,NEWTON STEWART HOSPITAL,1
02-Jul-2016,NHS FIFE,QUEEN MARGARET HOSPITAL,41
02-Jul-2016,NHS FIFE,VICTORIA HOSPITAL,188
02-Jul-2016,NHS FORTH VALLEY,FORTH VALLEY ROYAL HOSPITAL,161
02-Jul-2016,NHS FORTH VALLEY,STIRLING COMMUNITY HOSPITAL,40
02-Jul-2016,NHS GRAMPIAN,ABERDEEN ROYAL INFIRMARY,149
02-Jul-2016,NHS GRAMPIAN,DR GRAY'S HOSPITAL,74
02-Jul-2016,NHS GRAMPIAN,ROYAL ABERDEEN CHILDREN'S HOSPITAL,35
02-Jul-2016,NHS GREATER GLASGOW & CLYDE,GLASGOW ROYAL INFIRMARY,229
